request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.00,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Use full_payment with 1 payment(s); projected minimum balance IDR 39467037.28 remains at least 24768300.
request_27,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the ZAR 20500 minimum.
request_28,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the EUR 1100 minimum.
request_29,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the ZAR 28300 minimum.
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Use installments with 3 payment(s); projected minimum balance USD 1346.175555555555555555555556 remains at least 900.
request_31,1526124.37,not_affordable,not_recommended,none,2024-11-16,none,No eligible payment strategy completes the request while preserving the IDR 16588900 minimum.
request_32,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the ZAR 35700 minimum.
request_33,16464.01,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 102100 minimum.
request_34,129400.00,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Use full_payment with 1 payment(s); projected minimum balance INR 389823.1666666666666666666666 remains at least 138500.
request_35,8553.16,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 106400 minimum.
request_36,347.96,not_affordable,not_recommended,none,2026-09-16,none,No eligible payment strategy completes the request while preserving the USD 2400 minimum.
request_37,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the IDR 17056200 minimum.
request_38,140.83,not_affordable,not_recommended,none,2025-10-16,none,No eligible payment strategy completes the request while preserving the EUR 400 minimum.
request_39,28992.17,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 213400 minimum.
request_40,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the EUR 1500 minimum.
request_41,6224928.97,not_affordable,not_recommended,none,2026-01-16,none,No eligible payment strategy completes the request while preserving the IDR 25366600 minimum.
request_42,52100.00,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Use full_payment with 1 payment(s); projected minimum balance INR 141739.152 remains at least 113100.
request_43,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the IDR 21398000 minimum.
request_44,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 82900 minimum.
request_45,2875706.17,not_affordable,not_recommended,none,2026-09-16,none,No eligible payment strategy completes the request while preserving the IDR 11149800 minimum.
request_46,30157.41,not_affordable,not_recommended,none,2025-01-16,none,No eligible payment strategy completes the request while preserving the INR 84000 minimum.
request_47,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the IDR 30049000 minimum.
request_48,36820.50,not_affordable,not_recommended,none,2026-10-16,none,No eligible payment strategy completes the request while preserving the INR 71300 minimum.
request_49,11792088.46,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the IDR 20275700 minimum.
request_50,43900.00,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Use full_payment with 1 payment(s); projected minimum balance INR 151927.224 remains at least 99700.
request_51,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the IDR 7811000 minimum.
request_52,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 41500 minimum.
request_53,416.18,not_affordable,not_recommended,none,2026-01-16,none,No eligible payment strategy completes the request while preserving the USD 2100 minimum.
request_54,686.13,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the ZAR 37000 minimum.
request_55,97347.54,not_affordable,not_recommended,none,2026-08-16,none,No eligible payment strategy completes the request while preserving the INR 124300 minimum.
request_56,461.15,affordable_with_plan,partial_payment,2025-02-03:461.15|2025-02-16:420.41,2025-02-16,none,Use partial_payment with 2 payment(s); projected minimum balance USD 2100.004 remains at least 2100.
request_57,12138.67,not_affordable,not_recommended,none,2026-06-16,none,No eligible payment strategy completes the request while preserving the ZAR 42700 minimum.
request_58,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the IDR 14433900 minimum.
request_59,85442.86,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 132600 minimum.
request_60,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the USD 400 minimum.
request_61,26874.25,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the ZAR 36700 minimum.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Use full_payment with 1 payment(s); projected minimum balance USD 4149.73 remains at least 1300.
request_63,31168.26,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 153500 minimum.
request_64,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 36100 minimum.
